date,weekday,wd_num,strategy,direction,result,pnl_pts,entry,target,stop,va_range,pm_range,vah,poc,val,ny_open_pos,pm_open_pos,trend
2026-01-21,MIÉRCOLES,2,POC_SUPPORT_LONG,BUY,WIN,62.1,25221.3,25283.4,25185.2,155.3,511.5,25245.4,25216.3,25090.0,INSIDE_VA,ABOVE_VA,MIXED
2026-01-22,JUEVES,3,VAL_BD_RETEST_SHORT,SELL,LOSS,22.5,25646.2,25611.2,25668.7,87.5,138.8,25738.7,25693.9,25651.2,INSIDE_VA,BELOW_VA,BULL
2026-01-22,JUEVES,3,POC_RESIST_SHORT,SELL,WIN,-35.0,25688.9,25653.9,25711.4,87.5,138.8,25738.7,25693.9,25651.2,INSIDE_VA,BELOW_VA,BULL
2026-01-30,VIERNES,4,VAL_BD_RETEST_SHORT,SELL,LOSS,32.7,25739.5,25684.1,25772.2,138.4,300.2,25882.9,25844.6,25744.5,INSIDE_VA,INSIDE_VA,MIXED
2026-02-05,JUEVES,3,VAL_BD_RETEST_SHORT,SELL,LOSS,68.1,24704.2,24578.0,24772.4,315.7,344.2,25024.9,24775.1,24709.2,INSIDE_VA,BELOW_VA,MIXED
2026-02-05,JUEVES,3,POC_RESIST_SHORT,SELL,WIN,-126.3,24770.1,24643.9,24838.3,315.7,344.2,25024.9,24775.1,24709.2,INSIDE_VA,BELOW_VA,MIXED
2026-02-10,MARTES,1,VAH_BO_RETEST_LONG,BUY,LOSS,-17.1,25389.2,25413.4,25372.1,60.6,202.0,25384.2,25352.8,25323.6,INSIDE_VA,INSIDE_VA,MIXED
2026-02-10,MARTES,1,VAL_BD_RETEST_SHORT,SELL,LOSS,17.1,25318.6,25294.4,25335.8,60.6,202.0,25384.2,25352.8,25323.6,INSIDE_VA,INSIDE_VA,MIXED
2026-02-10,MARTES,1,POC_SUPPORT_LONG,BUY,WIN,24.2,25357.8,25382.1,25340.7,60.6,202.0,25384.2,25352.8,25323.6,INSIDE_VA,INSIDE_VA,MIXED
2026-02-11,MIÉRCOLES,2,VAH_REJ_SHORT,SELL,WIN,-79.5,25354.0,25274.5,25398.7,198.7,218.8,25359.0,25244.3,25160.3,ABOVE_VA,INSIDE_VA,MIXED
2026-02-13,VIERNES,4,VAH_BO_RETEST_LONG,BUY,WIN,39.2,24783.5,24822.7,24758.9,98.0,263.8,24778.5,24729.5,24680.5,INSIDE_VA,ABOVE_VA,MIXED
2026-02-13,VIERNES,4,POC_SUPPORT_LONG,BUY,WIN,39.2,24734.5,24773.7,24709.9,98.0,263.8,24778.5,24729.5,24680.5,INSIDE_VA,ABOVE_VA,MIXED
2026-02-17,MARTES,1,VAH_BO_RETEST_LONG,BUY,WIN,33.4,24671.7,24705.1,24650.0,83.5,296.5,24666.7,24609.3,24583.2,INSIDE_VA,INSIDE_VA,MIXED
2026-02-17,MARTES,1,POC_RESIST_SHORT,SELL,LOSS,21.7,24604.3,24570.9,24626.0,83.5,296.5,24666.7,24609.3,24583.2,INSIDE_VA,INSIDE_VA,MIXED
2026-02-18,MIÉRCOLES,2,VAH_BO_RETEST_LONG,BUY,LOSS,-24.8,24945.4,24985.0,24920.6,99.0,272.2,24940.4,24900.3,24841.5,BELOW_VA,ABOVE_VA,MIXED
2026-02-18,MIÉRCOLES,2,POC_SUPPORT_LONG,BUY,LOSS,-24.8,24905.3,24944.9,24880.5,99.0,272.2,24940.4,24900.3,24841.5,BELOW_VA,ABOVE_VA,MIXED
