date,weekday,wd_num,val,poc,vah,va_range,prof_hi,prof_lo,prof_range,prof_bars,ny_open_price,ny_open_pos,am_hi,am_lo,am_range,pm_open,pm_close,pm_hi,pm_lo,pm_range,pm_dir,pm_open_pos,touches_vah,breaks_vah,vah_bounce,touches_val,breaks_val,val_bounce,touches_poc,close_above_va,close_inside,close_below_va,trend,ema200
2026-03-04,MIÉRCOLES,2,24698.45,24867.36,24924.86,226.4,24930.25,24499.0,431.2,38,24853.0,INSIDE_VA,25148.5,24826.0,322.5,25127.25,25121.5,25217.75,25051.0,166.8,NEUTRAL,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,24171.74
2026-03-05,JUEVES,3,24981.99,25000.21,25105.51,123.5,25205.75,24962.75,243.0,38,24987.75,INSIDE_VA,25209.75,24930.5,279.2,25080.25,25048.5,25123.0,24772.5,350.5,BEARISH,INSIDE_VA,True,True,False,True,True,False,True,False,True,False,MIXED,24176.7
2026-03-06,VIERNES,4,24645.56,24857.16,24980.6,335.0,25141.5,24612.5,529.0,38,24685.75,INSIDE_VA,24893.25,24608.75,284.5,24859.0,24667.5,24926.25,24601.0,325.2,BEARISH,INSIDE_VA,False,False,False,True,True,False,True,False,True,False,MIXED,24857.16
2026-03-09,LUNES,0,24279.06,24388.26,24480.39,201.3,24495.75,24086.25,409.5,38,24432.25,INSIDE_VA,24585.5,24313.0,272.5,24549.5,24992.0,25058.0,24549.5,508.5,BULLISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,24192.74
2026-03-10,MARTES,1,24900.72,24967.48,25075.68,175.0,25150.5,24874.25,276.2,38,24990.75,INSIDE_VA,25152.75,24892.25,260.5,25151.25,24986.25,25217.5,24940.25,277.2,BEARISH,ABOVE_VA,True,True,False,False,False,False,True,False,True,False,MIXED,24200.61
2026-03-11,MIÉRCOLES,2,24939.42,24963.58,25026.76,87.3,25118.75,24895.75,223.0,38,25034.75,INSIDE_VA,25180.0,24958.25,221.8,25065.75,24984.0,25090.0,24873.5,216.5,BEARISH,ABOVE_VA,True,True,False,True,True,False,True,False,True,False,MIXED,24204.19
2026-03-12,JUEVES,3,24795.99,24819.66,24910.7,114.7,24928.0,24709.5,218.5,38,24775.75,BELOW_VA,24834.5,24572.5,262.0,24620.5,24555.75,24735.25,24542.75,192.5,BEARISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,MIXED,24206.08
2026-03-13,VIERNES,4,24514.93,24645.65,24688.27,173.3,24738.0,24397.0,341.0,38,24645.5,INSIDE_VA,24805.25,24482.0,323.2,24490.5,24397.25,24569.25,24350.5,218.8,BEARISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,MIXED,24645.65
2026-03-16,LUNES,0,24538.59,24665.04,24687.87,149.3,24688.75,24478.0,210.8,38,24656.0,INSIDE_VA,24764.5,24610.75,153.8,24694.25,24884.75,25035.0,24647.5,387.5,BULLISH,INSIDE_VA,True,True,False,False,False,False,True,True,False,False,MIXED,24218.88
2026-03-17,MARTES,1,24729.49,24831.14,24912.95,183.5,25025.75,24728.25,297.5,38,25000.75,ABOVE_VA,25117.0,24964.0,153.0,25076.0,25010.5,25089.5,24946.25,143.2,BEARISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,24831.14
