date,weekday,direction,sweep,uptrend,result,pnl_pts
2024-07-09,Martes,SELL,ALTO,True,LOSS,-7.1
2024-07-10,Miércoles,SELL,ALTO,True,LOSS,-19.9
2024-07-11,Jueves,BUY,BAJO,True,LOSS,0.0
2024-07-11,Jueves,SELL,ALTO,True,WIN,66.9
2024-07-12,Viernes,BUY,BAJO,True,WIN,53.4
2024-07-12,Viernes,SELL,ALTO,True,LOSS,-26.7
2024-07-15,Lunes,SELL,ALTO,True,LOSS,-19.1
2024-07-16,Martes,BUY,BAJO,False,WIN,59.6
2024-07-16,Martes,SELL,ALTO,False,LOSS,-17.9
2024-07-17,Miércoles,BUY,BAJO,False,LOSS,-11.0
2024-07-18,Jueves,BUY,BAJO,False,WIN,72.0
2024-07-22,Lunes,SELL,ALTO,False,LOSS,0.0
2024-07-23,Martes,SELL,ALTO,False,LOSS,-23.6
2024-07-25,Jueves,BUY,BAJO,False,LOSS,-68.5
2024-07-26,Viernes,SELL,ALTO,True,WIN,97.5
2024-07-29,Lunes,SELL,ALTO,False,WIN,75.9
2024-07-30,Martes,SELL,ALTO,True,LOSS,-5.4
2024-08-01,Jueves,BUY,BAJO,False,WIN,87.7
2024-08-02,Viernes,BUY,BAJO,True,LOSS,-164.8
2024-08-06,Martes,BUY,BAJO,False,LOSS,-46.4
2024-08-07,Miércoles,SELL,ALTO,False,LOSS,-9.7
2024-08-09,Viernes,BUY,BAJO,True,FLAT,16.1
2024-08-09,Viernes,SELL,ALTO,True,WIN,151.9
2024-08-12,Lunes,SELL,ALTO,True,WIN,45.5
2024-08-13,Martes,BUY,BAJO,True,WIN,100.6
2024-08-14,Miércoles,BUY,BAJO,True,WIN,65.4
2024-08-14,Miércoles,SELL,ALTO,True,LOSS,-39.2
2024-08-15,Jueves,BUY,BAJO,True,WIN,133.4
2024-08-16,Viernes,BUY,BAJO,True,FLAT,34.0
2024-08-19,Lunes,BUY,BAJO,True,WIN,57.3
2024-08-20,Martes,BUY,BAJO,True,LOSS,-25.0
2024-08-21,Miércoles,BUY,BAJO,True,WIN,43.9
2024-08-21,Miércoles,SELL,ALTO,True,LOSS,-17.6
2024-08-22,Jueves,SELL,ALTO,True,LOSS,0.0
2024-08-23,Viernes,SELL,ALTO,True,LOSS,-28.3
2024-08-26,Lunes,BUY,BAJO,True,LOSS,-12.2
2024-08-26,Lunes,SELL,ALTO,True,WIN,67.5
2024-08-27,Martes,BUY,BAJO,False,LOSS,-69.4
2024-08-27,Martes,SELL,ALTO,False,WIN,72.2
2024-08-28,Miércoles,BUY,BAJO,False,LOSS,-3.4
2024-08-28,Miércoles,SELL,ALTO,False,WIN,51.3
2024-08-29,Jueves,SELL,ALTO,False,LOSS,0.0
2024-08-30,Viernes,SELL,ALTO,True,LOSS,-5.5
2024-09-03,Martes,BUY,BAJO,False,LOSS,0.0
2024-09-04,Miércoles,SELL,ALTO,False,LOSS,-36.0
2024-09-05,Jueves,BUY,BAJO,False,WIN,87.4
2024-09-06,Viernes,BUY,BAJO,True,WIN,144.6
2024-09-06,Viernes,SELL,ALTO,True,WIN,144.6
2024-09-09,Lunes,SELL,ALTO,False,LOSS,-26.5
2024-09-10,Martes,BUY,BAJO,True,WIN,93.6
2024-09-10,Martes,SELL,ALTO,True,LOSS,-74.9
2024-09-11,Miércoles,SELL,ALTO,True,LOSS,-40.9
2024-09-12,Jueves,BUY,BAJO,True,LOSS,-37.7
2024-09-13,Viernes,BUY,BAJO,True,LOSS,-30.3
2024-09-16,Lunes,BUY,BAJO,True,LOSS,0.0
2024-09-16,Lunes,SELL,ALTO,True,WIN,77.3
2024-09-17,Martes,SELL,ALTO,True,LOSS,-20.8
2024-09-18,Miércoles,BUY,BAJO,True,WIN,36.9
2024-09-18,Miércoles,SELL,ALTO,True,WIN,36.9
2024-09-19,Jueves,SELL,ALTO,True,LOSS,0.0
2024-09-20,Viernes,BUY,BAJO,True,WIN,52.0
2024-09-20,Viernes,SELL,ALTO,True,FLAT,12.0
2024-09-24,Martes,SELL,ALTO,True,WIN,67.1
2024-09-25,Miércoles,SELL,ALTO,True,LOSS,-18.7
2024-09-26,Jueves,SELL,ALTO,True,LOSS,-19.5
2024-09-27,Viernes,SELL,ALTO,True,WIN,96.5
2024-09-30,Lunes,BUY,BAJO,False,WIN,63.9
2024-10-01,Martes,SELL,ALTO,False,WIN,40.2
2024-10-02,Miércoles,BUY,BAJO,False,LOSS,-37.0
2024-10-02,Miércoles,SELL,ALTO,False,WIN,61.6
2024-10-03,Jueves,SELL,ALTO,True,LOSS,-28.6
2024-10-04,Viernes,SELL,ALTO,True,FLAT,4.0
2024-10-07,Lunes,BUY,BAJO,True,WIN,105.8
2024-10-08,Martes,SELL,ALTO,True,LOSS,0.0
2024-10-09,Miércoles,SELL,ALTO,True,LOSS,-19.4
2024-10-10,Jueves,BUY,BAJO,True,WIN,72.9
2024-10-10,Jueves,SELL,ALTO,True,WIN,72.9
2024-10-11,Viernes,BUY,BAJO,True,LOSS,-4.0
2024-10-14,Lunes,SELL,ALTO,True,LOSS,-11.0
2024-10-15,Martes,BUY,BAJO,True,WIN,37.2
2024-10-17,Jueves,SELL,ALTO,True,LOSS,0.0
2024-10-18,Viernes,SELL,ALTO,True,LOSS,-9.9
2024-10-21,Lunes,BUY,BAJO,True,WIN,88.2
2024-10-22,Martes,BUY,BAJO,False,WIN,72.4
2024-10-23,Miércoles,BUY,BAJO,False,LOSS,-11.9
2024-10-24,Jueves,SELL,ALTO,True,WIN,65.1
2024-10-28,Lunes,BUY,BAJO,True,LOSS,-38.3
2024-10-28,Lunes,SELL,ALTO,True,WIN,44.7
2024-10-29,Martes,BUY,BAJO,True,LOSS,-22.5
2024-10-30,Miércoles,SELL,ALTO,False,WIN,42.5
2024-10-31,Jueves,BUY,BAJO,False,LOSS,-47.6
2024-11-01,Viernes,SELL,ALTO,True,LOSS,-32.8
2024-11-04,Lunes,BUY,BAJO,False,LOSS,-41.2
2024-11-05,Martes,SELL,ALTO,True,LOSS,-9.6
2024-11-08,Viernes,BUY,BAJO,True,WIN,103.8
2024-11-11,Lunes,BUY,BAJO,True,LOSS,-11.6
2024-11-11,Lunes,SELL,ALTO,True,WIN,36.4
2024-11-12,Martes,BUY,BAJO,True,WIN,48.6
2024-11-13,Miércoles,SELL,ALTO,True,WIN,61.6
2024-11-14,Jueves,SELL,ALTO,False,WIN,56.5
2024-11-18,Lunes,BUY,BAJO,False,WIN,93.5
2024-11-19,Martes,BUY,BAJO,False,LOSS,-98.1
