date,weekday,setup,tier,open_pos,result,pnl_pts,entry,exit,va_range,poc,vah,val
2024-04-23,Martes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-12.0,17422.2,17434.2,59.9,17394.2,17418.5,17358.7
2024-04-24,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-50.5,17740.1,17689.7,43.9,17727.0,17740.1,17696.2
2024-04-24,Miércoles,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-50.5,17696.2,17746.7,43.9,17727.0,17740.1,17696.2
2024-04-25,Jueves,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-15.7,17436.2,17420.5,78.4,17454.5,17514.6,17436.2
2024-04-26,Viernes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-72.0,17776.8,17704.7,62.6,17737.1,17776.8,17714.1
2024-04-26,Viernes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-72.0,17714.1,17786.1,62.6,17737.1,17776.8,17714.1
2024-04-29,Lunes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-6.4,17922.0,17928.4,32.0,17906.6,17920.5,17888.5
2024-04-30,Martes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-12.1,17847.0,17834.9,60.5,17885.3,17907.5,17847.0
2024-05-01,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-11.7,17498.0,17509.7,58.5,17468.6,17497.8,17439.3
2024-05-02,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,50.1,17559.6,17509.5,50.1,17584.7,17609.7,17559.6
2024-05-03,Viernes,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,LOSS,-25.9,17923.2,17949.1,129.5,17755.9,17857.1,17727.6
2024-05-06,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,50.4,18060.9,18111.3,50.4,18044.6,18060.9,18010.4
2024-05-07,Martes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-4.8,18192.2,18197.0,24.0,18182.2,18189.4,18165.4
2024-05-08,Miércoles,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-16.3,18135.0,18118.7,81.7,18195.1,18216.8,18135.0
2024-05-09,Jueves,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-8.4,18190.8,18199.1,41.9,18150.5,18165.0,18123.1
2024-05-10,Viernes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,WIN,35.1,18254.9,18290.0,48.8,18290.0,18303.7,18254.9
2024-05-13,Lunes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-5.9,18325.0,18330.9,29.7,18298.1,18308.3,18278.6
2024-05-14,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,FLAT,12.0,18308.8,18320.8,76.4,18292.0,18308.8,18232.4
2024-05-15,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-17.5,18510.2,18527.8,87.7,18411.1,18480.7,18393.0
2024-05-16,Jueves,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-3.9,18710.8,18706.9,19.4,18724.5,18730.2,18710.8
2024-05-17,Viernes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,WIN,7.3,18684.8,18677.4,32.5,18657.7,18677.4,18644.9
2024-05-20,Lunes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-4.3,18655.6,18651.3,21.6,18670.2,18677.2,18655.6
2024-05-21,Martes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-4.1,18737.8,18733.6,20.7,18752.9,18758.5,18737.8
2024-05-22,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,FLAT,7.5,18812.0,18819.5,28.5,18795.5,18812.0,18783.5
2024-05-23,Jueves,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,WIN,13.8,19005.5,18991.7,63.2,18945.9,18991.7,18928.5
2024-05-24,Viernes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,60.0,18772.8,18832.8,60.0,18738.2,18772.8,18712.8
2024-05-28,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,42.7,18907.2,18864.6,42.7,18921.9,18949.9,18907.2
2024-05-29,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,FLAT,-7.2,18857.8,18850.5,85.0,18813.1,18857.8,18772.8
2024-05-29,Miércoles,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-97.8,18772.8,18870.5,85.0,18813.1,18857.8,18772.8
2024-05-30,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,FLAT,27.5,18696.5,18669.0,90.5,18750.4,18787.0,18696.5
2024-05-31,Viernes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,WIN,39.8,18647.0,18607.2,91.6,18543.0,18607.2,18515.5
2024-06-03,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,45.3,18686.8,18732.1,45.3,18661.4,18686.8,18641.4
2024-06-03,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-52.1,18641.4,18693.6,45.3,18661.4,18686.8,18641.4
2024-06-04,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,FLAT,-28.3,18614.3,18586.0,73.6,18562.8,18614.3,18540.7
2024-06-05,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,75.2,18828.2,18903.4,75.2,18780.2,18828.2,18753.1
2024-06-06,Jueves,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-31.0,19104.2,19073.2,27.0,19089.6,19104.2,19077.2
2024-06-06,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-31.0,19077.2,19108.3,27.0,19089.6,19104.2,19077.2
2024-06-07,Viernes,BOUNCE_FROM_VAL,TIER2_NORMAL,BELOW_VA,LOSS,-20.7,19043.4,19022.7,103.4,19081.3,19146.8,19043.4
2024-06-10,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,36.0,19028.3,19064.4,36.0,19016.7,19028.3,18992.3
2024-06-10,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-41.5,18992.3,19033.7,36.0,19016.7,19028.3,18992.3
2024-06-11,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-51.5,19077.1,19025.6,44.8,19058.9,19077.1,19032.3
2024-06-11,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-51.5,19032.3,19083.8,44.8,19058.9,19077.1,19032.3
2024-06-12,Miércoles,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,LOSS,-24.8,19422.2,19447.0,123.8,19265.7,19364.1,19240.2
2024-06-13,Jueves,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-61.7,19658.8,19597.2,53.6,19639.2,19658.8,19605.2
2024-06-13,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,53.6,19605.2,19551.6,53.6,19639.2,19658.8,19605.2
2024-06-14,Viernes,BREAKOUT_BUY,TIER2_NORMAL,INSIDE_VA,FLAT,1.3,19616.4,19617.8,115.0,19556.4,19616.4,19501.5
2024-06-17,Lunes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-5.4,19694.8,19689.4,26.9,19705.8,19721.6,19694.8
2024-06-18,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,43.9,19921.3,19877.4,43.9,19954.2,19965.2,19921.3
2024-06-21,Viernes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,WIN,0.3,19771.2,19770.9,65.9,19729.2,19770.9,19705.1
2024-06-24,Lunes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-12.8,19940.8,19928.0,64.2,19956.9,20005.0,19940.8
2024-06-25,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,62.5,19842.7,19905.2,62.5,19828.1,19842.7,19780.2
2024-06-26,Miércoles,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-14.0,19981.7,19967.6,70.1,19998.0,20051.8,19981.7
2024-06-27,Jueves,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-7.5,20004.5,20012.0,37.7,19963.3,19983.8,19946.1
2024-06-28,Viernes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-8.0,20091.3,20083.3,40.0,20119.7,20131.3,20091.3
2024-07-01,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,63.6,19929.3,19865.7,63.6,19979.0,19992.9,19929.3
2024-07-02,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,42.5,19970.2,20012.7,42.5,19950.7,19970.2,19927.7
2024-07-05,Viernes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,32.8,20442.7,20475.5,32.8,20424.2,20442.7,20409.9
2024-07-08,Lunes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-7.3,20629.0,20636.3,36.3,20613.0,20621.2,20584.8
2024-07-09,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,22.2,20741.8,20764.1,22.2,20732.2,20741.8,20719.6
2024-07-09,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-25.6,20719.6,20745.2,22.2,20732.2,20741.8,20719.6
2024-07-10,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-10.9,20754.5,20765.4,54.4,20730.6,20750.7,20696.2
2024-07-11,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,66.9,20865.8,20798.9,66.9,20883.4,20932.6,20865.8
2024-07-12,Viernes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,53.4,20446.2,20499.6,53.4,20421.8,20446.2,20392.8
2024-07-15,Lunes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-5.8,20607.4,20601.6,29.1,20624.7,20636.6,20607.4
2024-07-16,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-68.5,20638.6,20570.1,59.6,20618.1,20638.6,20579.0
2024-07-16,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-68.5,20579.0,20647.5,59.6,20618.1,20638.6,20579.0
2024-07-17,Miércoles,BREAKOUT_SELL,TIER2_NORMAL,INSIDE_VA,WIN,110.2,20268.9,20158.7,110.2,20347.0,20379.1,20268.9
2024-07-18,Jueves,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-14.4,20144.8,20159.2,72.0,20078.5,20128.9,20056.9
2024-07-19,Viernes,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,LOSS,-24.1,19938.8,19962.9,120.7,19900.6,19934.5,19813.8
2024-07-22,Lunes,BREAKOUT_BUY,TIER2_NORMAL,INSIDE_VA,FLAT,-65.8,19931.0,19865.2,120.3,19896.2,19931.0,19810.7
2024-07-22,Lunes,BREAKOUT_SELL,TIER2_NORMAL,INSIDE_VA,LOSS,-138.4,19810.7,19949.0,120.3,19896.2,19931.0,19810.7
2024-07-23,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,78.5,19995.9,20074.4,78.5,19929.6,19995.9,19917.3
2024-07-25,Jueves,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,WIN,0.0,19233.2,19233.2,114.1,19165.4,19233.2,19119.1
2024-07-26,Viernes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,97.5,19139.0,19041.6,97.5,19187.8,19236.5,19139.0
2024-07-29,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-87.2,19328.8,19241.6,75.9,19307.5,19328.8,19252.9
2024-07-29,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-87.2,19252.9,19340.2,75.9,19307.5,19328.8,19252.9
2024-07-30,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-78.2,19275.5,19197.3,68.0,19255.1,19275.5,19207.5
2024-07-30,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-78.2,19207.5,19285.7,68.0,19255.1,19275.5,19207.5
2024-07-31,Miércoles,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,LOSS,-24.2,19347.0,19371.2,121.2,19220.5,19294.1,19172.9
2024-08-01,Jueves,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-100.9,19648.9,19548.0,87.7,19595.6,19648.9,19561.2
2024-08-01,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-100.9,19561.2,19662.0,87.7,19595.6,19648.9,19561.2
2024-08-02,Viernes,BOUNCE_FROM_VAL,TIER2_NORMAL,BELOW_VA,LOSS,-23.5,18645.8,18622.3,117.7,18719.4,18763.5,18645.8
2024-08-05,Lunes,BREAKOUT_BUY,TIER3_NOISY,INSIDE_VA,WIN,185.0,17882.9,18067.9,370.0,17663.2,17882.9,17512.9
2024-08-05,Lunes,BREAKOUT_SELL,TIER3_NOISY,INSIDE_VA,LOSS,-425.5,17512.9,17938.4,370.0,17663.2,17882.9,17512.9
2024-08-06,Martes,BREAKOUT_BUY,TIER3_NOISY,INSIDE_VA,FLAT,79.7,18261.6,18341.2,206.4,18139.0,18261.6,18055.2
2024-08-06,Martes,BREAKOUT_SELL,TIER3_NOISY,INSIDE_VA,LOSS,-237.4,18055.2,18292.6,206.4,18139.0,18261.6,18055.2
2024-08-07,Miércoles,BREAKOUT_BUY,TIER2_NORMAL,INSIDE_VA,FLAT,-54.7,18453.7,18399.0,128.8,18401.4,18453.7,18324.9
2024-08-08,Jueves,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,LOSS,-26.0,18157.2,18183.2,130.0,17992.8,18041.5,17911.5
2024-08-09,Viernes,BOUNCE_FROM_VAL,TIER3_NOISY,BELOW_VA,LOSS,-30.4,18463.4,18433.0,151.9,18512.5,18615.3,18463.4
2024-08-12,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-52.3,18678.3,18626.0,45.5,18652.6,18678.3,18632.8
2024-08-12,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,45.5,18632.8,18587.3,45.5,18652.6,18678.3,18632.8
2024-08-13,Martes,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,LOSS,-20.1,18815.2,18835.4,100.6,18739.2,18783.6,18683.0
2024-08-14,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-13.1,19131.5,19144.6,65.4,19106.3,19130.8,19065.4
2024-08-15,Jueves,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,LOSS,-26.7,19335.5,19362.2,133.4,19162.5,19247.0,19113.6
2024-08-16,Viernes,BOUNCE_FROM_VAL,TIER2_NORMAL,BELOW_VA,LOSS,-28.3,19541.7,19513.4,141.3,19632.0,19683.0,19541.7
2024-08-19,Lunes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-11.5,19622.2,19633.7,57.3,19580.5,19619.4,19562.1
2024-08-20,Martes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-7.7,19862.3,19854.6,38.7,19878.7,19901.0,19862.3
2024-08-21,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,43.9,19849.1,19893.0,43.9,19828.3,19849.1,19805.2
2024-08-21,Miércoles,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-50.5,19805.2,19855.7,43.9,19828.3,19849.1,19805.2
2024-08-22,Jueves,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-90.5,19994.5,19904.0,78.7,19953.2,19994.5,19915.8
2024-08-22,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,78.7,19915.8,19837.2,78.7,19953.2,19994.5,19915.8
2024-08-23,Viernes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-12.4,19757.0,19769.4,62.0,19688.0,19736.6,19674.7
2024-08-26,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,67.5,19755.1,19687.6,67.5,19787.2,19822.6,19755.1
2024-08-27,Martes,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-14.5,19560.3,19545.8,72.2,19610.9,19632.6,19560.3
2024-08-28,Miércoles,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,51.3,19608.1,19556.8,51.3,19632.3,19659.4,19608.1
2024-08-29,Jueves,BREAKOUT_BUY,TIER2_NORMAL,INSIDE_VA,WIN,135.6,19516.2,19651.8,135.6,19448.5,19516.2,19380.7
2024-08-30,Viernes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-73.9,19568.4,19494.5,64.3,19515.6,19568.4,19504.1
2024-08-30,Viernes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-73.9,19504.1,19578.1,64.3,19515.6,19568.4,19504.1
2024-09-03,Martes,BREAKOUT_SELL,TIER2_NORMAL,INSIDE_VA,WIN,103.2,19451.0,19347.8,103.2,19505.8,19554.2,19451.0
2024-09-04,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,56.2,18912.8,18969.0,56.2,18877.1,18912.8,18856.5
2024-09-04,Miércoles,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-64.7,18856.5,18921.2,56.2,18877.1,18912.8,18856.5
2024-09-05,Jueves,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,87.4,18972.9,19060.2,87.4,18923.4,18972.9,18885.5
2024-09-05,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-100.5,18885.5,18986.0,87.4,18923.4,18972.9,18885.5
2024-09-06,Viernes,FADE_GAP_UP,TIER2_NORMAL,ABOVE_VA,LOSS,-28.9,18933.2,18962.2,144.6,18758.3,18856.2,18711.5
2024-09-09,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,55.1,18623.7,18678.8,55.1,18603.5,18623.7,18568.6
2024-09-09,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-63.4,18568.6,18632.0,55.1,18603.5,18623.7,18568.6
2024-09-10,Martes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-18.7,18758.5,18777.2,93.6,18641.5,18707.1,18613.5
2024-09-11,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-17.0,18860.2,18877.3,85.1,18798.6,18841.2,18756.1
2024-09-12,Jueves,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-9.4,19279.9,19270.5,47.1,19303.5,19327.0,19279.9
2024-09-13,Viernes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-37.7,19470.8,19433.1,32.8,19449.4,19470.8,19438.0
2024-09-13,Viernes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-37.7,19438.0,19475.7,32.8,19449.4,19470.8,19438.0
2024-09-16,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,77.3,19427.0,19349.7,77.3,19448.3,19504.3,19427.0
2024-09-17,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-86.6,19571.6,19485.0,75.3,19539.8,19571.6,19496.3
2024-09-17,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-86.6,19496.3,19582.9,75.3,19539.8,19571.6,19496.3
2024-09-18,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-7.4,19490.8,19498.1,36.9,19470.4,19481.5,19444.6
2024-09-19,Jueves,BREAKOUT_BUY,TIER2_NORMAL,INSIDE_VA,WIN,118.3,19784.0,19902.3,118.3,19763.3,19784.0,19665.7
2024-09-20,Viernes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,WIN,3.5,19829.5,19826.0,52.0,19800.0,19826.0,19774.0
2024-09-23,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,FLAT,8.2,20097.0,20105.2,67.5,20073.4,20097.0,20029.5
2024-09-24,Martes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-77.2,20152.4,20075.2,67.1,20123.3,20152.4,20085.3
2024-09-24,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,67.1,20085.3,20018.2,67.1,20123.3,20152.4,20085.3
2024-09-25,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-10.0,20149.2,20159.2,49.9,20128.4,20142.4,20092.6
2024-09-26,Jueves,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,LOSS,-11.9,20517.0,20528.9,59.5,20481.9,20506.3,20446.8
2024-09-27,Viernes,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,WIN,23.9,20376.8,20352.9,96.5,20296.6,20352.9,20256.4
2024-09-30,Lunes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-73.5,20217.4,20144.0,63.9,20194.0,20217.4,20153.6
2024-09-30,Lunes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-73.5,20153.6,20227.0,63.9,20194.0,20217.4,20153.6
2024-10-01,Martes,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,WIN,40.2,20251.6,20211.3,40.2,20260.7,20291.8,20251.6
2024-10-02,Miércoles,FADE_GAP_UP,TIER1_CLEAN,ABOVE_VA,WIN,9.8,19981.0,19971.2,61.6,19938.2,19971.2,19909.6
2024-10-03,Jueves,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,66.7,19971.2,20037.9,66.7,19944.9,19971.2,19904.4
2024-10-03,Jueves,BREAKOUT_SELL,TIER1_CLEAN,INSIDE_VA,LOSS,-76.7,19904.4,19981.2,66.7,19944.9,19971.2,19904.4
2024-10-04,Viernes,FADE_GAP_UP,TIER3_NOISY,ABOVE_VA,WIN,99.5,20245.0,20145.5,155.3,20013.1,20145.5,19990.3
2024-10-07,Lunes,BREAKOUT_BUY,TIER2_NORMAL,INSIDE_VA,FLAT,-13.5,20163.8,20150.2,105.8,20102.1,20163.8,20058.0
2024-10-08,Martes,BREAKOUT_BUY,TIER2_NORMAL,INSIDE_VA,WIN,107.7,20104.0,20211.7,107.7,20079.8,20104.0,19996.3
2024-10-09,Miércoles,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,WIN,55.0,20276.8,20331.8,55.0,20259.1,20276.8,20221.9
2024-10-10,Jueves,BOUNCE_FROM_VAL,TIER1_CLEAN,BELOW_VA,LOSS,-14.6,20400.4,20385.8,72.9,20429.0,20473.3,20400.4
2024-10-11,Viernes,BREAKOUT_BUY,TIER1_CLEAN,INSIDE_VA,LOSS,-53.4,20403.8,20350.4,46.4,20375.6,20403.8,20357.3
