Report_Date_as_MM_DD_YYYY,Market_and_Exchange_Names,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,COT_Index
2022-04-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14410,8826,9428,15036,11462,7372,38.4
2022-04-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15277,8881,9495,14402,11453,8614,43.3
2022-04-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14372,9779,9707,11979,10566,9225,61.9
2022-05-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14406,9624,9949,10964,9319,9598,70.8
2022-05-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14304,11991,12361,10439,10276,10965,91.4
2022-05-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14937,12537,11003,10598,10222,10136,80.8
2022-05-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15586,12910,10377,13270,12515,9898,57.5
2022-05-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16956,12515,9648,16021,14507,9245,33.0
2022-06-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15809,11500,10306,17384,15218,8552,28.1
2022-06-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15636,12609,12313,16200,12927,9021,50.5
2022-06-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15907,12733,10512,13316,7782,6921,58.2
2022-06-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16383,12236,11312,15110,9404,8493,51.2
2022-07-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15836,14048,11469,14653,11404,8944,55.5
2022-07-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16832,13543,10672,16486,11467,6239,37.0
2022-07-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16588,13703,10912,16034,11533,6773,41.8
2022-07-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,18059,13387,10300,17658,11795,7761,26.1
2022-08-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17539,12826,10546,17845,12498,5730,26.5
2022-08-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17779,10189,9016,19880,13387,4467,1.4
2022-08-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,19972,10045,8841,20971,13098,3425,0.0
2022-08-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,18783,10882,10020,18068,11654,6175,26.7
2022-08-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17450,12452,10135,17752,12962,4150,29.6
2022-09-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16018,14584,12368,19339,15570,3672,33.8
2022-09-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15068,13275,10602,20210,18517,2124,16.5
2022-09-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14847,14871,9269,17441,19672,2497,25.9
2022-09-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14827,16966,10257,16662,19598,1695,37.5
2022-10-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14298,16937,10125,14127,17524,1997,53.2
2022-10-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15798,16511,11596,15564,15756,2443,53.5
2022-10-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15709,15736,11625,14287,14661,3735,62.0
2022-10-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16240,14744,11907,18560,15776,3490,35.9
2022-11-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15761,13952,11833,18226,16365,3580,37.6
2022-11-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15426,13750,11000,17821,15444,3499,34.8
2022-11-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16041,11293,10109,17697,14051,6556,29.7
2022-11-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15687,11514,9731,15200,12488,6546,43.6
2022-11-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15341,12178,9532,15628,13419,6485,39.5
2022-12-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16136,12071,9098,15527,12539,6691,37.3
2022-12-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16130,12201,8885,15039,12814,6989,39.1
2022-12-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15932,13732,10942,12559,10761,8597,68.9
2022-12-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15542,13665,11098,14159,11424,7975,59.4
2023-01-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14812,13663,11721,12084,9946,8282,77.1
2023-01-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16007,12516,11626,14082,11480,9262,63.4
2023-01-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17126,11496,12546,16141,13417,9099,55.9
2023-01-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17631,10414,11607,17469,13629,8752,41.1
2023-01-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17864,10258,12323,17989,14603,9722,42.3
2023-02-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17658,7878,13475,21268,14376,10392,28.4
2023-02-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16666,7471,11796,20966,15729,8547,19.4
2023-02-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15121,8426,11660,18627,15171,8014,33.8
2023-02-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14796,9959,11732,17971,15349,7381,38.6
2023-03-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14293,9442,11958,17529,14032,6392,43.0
2023-03-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14787,10776,13031,14237,12338,6203,71.5
2023-03-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14981,10112,8682,14768,8688,3693,39.6
2023-03-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14944,10080,8215,16394,9385,3680,25.9
2023-04-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,13827,7293,9229,18097,8456,5668,21.4
2023-04-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15919,7868,9744,16986,8120,7507,32.0
2023-04-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16242,8519,10914,17239,8295,7517,38.0
2023-04-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15845,7615,10320,17518,8084,8381,32.3
2023-05-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,82084,38832,49705,84041,35815,40996,0.0
2023-05-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,82954,38373,56149,85997,34203,44576,12.0
2023-05-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,89061,37925,64723,92432,40625,51425,17.7
2023-05-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,91039,32184,64908,98840,42636,55579,1.1
2023-05-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93537,28824,70386,110343,43679,60478,0.0
2023-06-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95470,23056,73478,111628,42327,67824,4.2
2023-06-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92653,21853,61041,101170,47592,58001,0.0
2023-06-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93134,25816,53986,69993,37045,73875,55.8
2023-06-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,90580,25455,50148,75344,40739,72336,34.5
2023-07-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,91364,28692,44081,76610,36736,65149,17.6
2023-07-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92160,28126,43740,80417,39746,67877,8.0
2023-07-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,96423,24979,46820,76385,37533,75492,24.4
2023-07-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,94940,30870,39912,79516,44688,72557,1.2
2023-08-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95911,30754,40282,93951,47696,61185,0.0
2023-08-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93838,27319,37985,97053,52803,62768,0.0
2023-08-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,91705,28830,38954,77535,51410,67762,32.9
2023-08-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,85062,29046,39913,71641,49997,61932,44.0
2023-08-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,88079,24041,42975,71368,51955,62759,49.3
2023-09-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,86894,25186,46239,74642,57637,62500,49.3
2023-09-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,81382,30425,39088,71672,52776,57159,42.6
2023-09-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,87878,19446,44866,65435,41754,72958,61.9
2023-09-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,84713,25951,38317,70025,44823,66683,44.0
2023-10-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,81523,32354,42786,65548,47027,70150,58.4
2023-10-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,83343,26688,43065,60022,47529,75965,67.7
2023-10-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,84789,23022,45499,57301,44161,80399,76.0
2023-10-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,86158,24870,45162,58236,50946,74949,73.9
2023-10-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,80381,34446,46983,55445,59618,72290,81.4
2023-11-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,88577,23030,62112,46464,49653,86324,100.0
2023-11-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,101016,16433,46765,45174,46759,100323,81.2
2023-11-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,110056,16983,45606,48468,49488,110707,75.2
2023-11-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,111623,15948,49655,44636,52741,120104,85.8
2023-12-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107624,17805,47537,67228,53836,108350,52.7
2023-12-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,99939,18643,56010,89780,59248,97991,33.9
2023-12-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,109481,20143,45363,88183,58391,105451,21.7
2023-12-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,110383,19524,47464,90354,57560,107420,21.7
2024-01-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,115882,26698,44770,80633,48282,106272,31.1
2024-01-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,114427,26088,47469,84084,48810,102282,30.1
2024-01-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112408,26545,50162,83623,47963,97953,34.3
2024-01-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,118140,23690,53148,87486,53686,115403,33.1
2024-01-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,122771,25136,54341,79659,51195,126850,45.2
2024-02-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,120796,24425,47476,79344,47010,118102,36.4
2024-02-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,121486,21449,53128,87885,47378,120895,32.5
2024-02-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,118017,22397,49608,82696,45414,111057,34.8
2024-02-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,116179,22552,49455,94466,45145,102513,18.8
2024-03-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108185,25727,41526,97378,54117,91144,4.3
2024-03-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108217,24812,46013,109481,51833,81747,0.0
2024-03-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108302,20817,54966,92548,28656,73691,32.7
2024-03-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107062,23599,54213,101253,37296,78052,20.8
2024-04-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,106294,23451,51623,96996,37932,78292,22.9
2024-04-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108344,17696,50428,92609,36415,83345,26.9
2024-04-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107827,18862,46479,97910,31033,72173,15.2
2024-04-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,104460,20794,47218,93100,30319,75567,22.2
2024-04-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,97023,22596,45784,99667,33231,66174,12.1
2024-05-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,99428,18613,43005,90022,28954,61583,20.8
2024-05-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,100524,18175,43412,96704,37825,64692,12.9
2024-05-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,104981,18975,42446,80283,32357,71069,32.4
2024-05-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,111197,19404,40368,83318,32170,77868,25.9
2024-06-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107990,22693,35637,72022,31589,73264,34.2
2024-06-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,104676,22514,36933,81315,45391,73491,24.1
2024-06-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,101271,24897,42957,97628,36581,65009,11.1
2024-06-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,109006,21066,43263,82764,27551,83332,30.3
2024-07-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108399,23153,46649,88234,28162,90090,27.7
2024-07-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112601,25680,42359,88166,32578,92934,22.3
2024-07-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,113066,24887,40926,83128,24410,91233,26.9
2024-07-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,104036,28175,40321,73462,19266,88062,38.3
2024-07-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,102725,30397,39401,72051,18720,97648,39.0
2024-08-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,96816,26567,35253,69017,17079,104893,37.5
2024-08-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95751,24906,27875,72364,20372,94697,24.0
2024-08-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95896,24908,27006,82930,28551,84382,9.5
2024-08-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,96045,22930,27296,75398,27872,96061,19.4
2024-09-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,88752,22064,27312,75487,30842,100986,19.3
2024-09-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,82379,24075,33363,68006,29751,103030,36.4
2024-09-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,77175,22998,22907,76810,32127,95524,12.1
2024-09-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,85948,21153,25587,73295,33745,92424,19.9
2024-10-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92181,23223,23226,75739,35602,90131,13.8
2024-10-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,94535,22556,31029,86879,35668,90005,9.6
2024-10-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93380,24445,26751,84810,41398,84552,6.8
2024-10-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93426,23931,31280,81097,50022,91647,17.3
2024-10-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93505,24107,40570,84572,46230,98981,24.6
2024-11-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93663,26153,36237,77250,44564,103964,28.4
2024-11-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,101905,24807,37924,87176,47468,111541,18.0
2024-11-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,100791,23470,32771,74914,49320,122999,27.0
2024-11-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,100964,24737,32672,80451,54340,121639,19.8
2024-12-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,103987,24551,39670,92154,55461,125601,13.9
2024-12-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,102890,23160,40332,89319,47087,126092,18.3
2024-12-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,98029,26080,40566,96594,43740,115825,9.4
2024-12-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93874,28200,36361,79617,29664,99136,25.5
2024-12-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,97433,28566,40710,73148,29954,114417,39.2
2025-01-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95783,30576,37186,77467,31488,93153,29.3
2025-01-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,98997,33522,43254,82724,31569,93468,30.3
2025-01-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,97058,35956,37722,78467,33112,95661,28.7
2025-01-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,100985,41860,40002,90156,32573,84146,16.8
2025-02-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,101199,41876,37317,85909,35228,82002,18.8
2025-02-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107132,41911,35021,87838,38678,82417,13.5
2025-02-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,109363,42777,35308,103650,43020,86929,0.0
2025-02-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,103894,45171,49778,84612,35607,105257,39.9
2025-03-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,98223,49517,57481,78075,30741,107030,56.8
2025-03-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,89876,51022,70931,74874,31703,118091,76.7
2025-03-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,83392,49232,57757,66975,34316,93585,70.4
2025-03-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,90110,50112,30114,65561,42186,63749,39.2
2025-04-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92898,45284,45875,78239,41033,77411,42.8
2025-04-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,87141,49711,64374,62615,39959,83757,83.5
2025-04-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,88071,47982,41642,63580,45859,74590,55.2
2025-04-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,85041,51287,45980,56909,47261,79385,68.4
2025-04-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,83601,43741,40341,79959,57193,64890,34.2
2025-05-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,81977,40761,46175,98984,61437,57134,18.5
2025-05-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,85032,41669,49535,120159,78594,57522,0.0
2025-05-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,88281,38950,46184,113200,76725,59871,4.2
2025-05-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,90322,38742,46880,107270,63528,62462,11.9
2025-06-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93380,38827,44221,104914,59897,68633,11.5
2025-06-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92721,38897,45276,97043,62728,75551,21.9
2025-06-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95143,39821,43278,98694,57046,72947,17.6
2025-06-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,89391,39567,49552,79166,46948,85248,47.5
2025-07-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,90760,35797,59078,71595,48047,110991,67.4
2025-07-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93282,31906,59326,66787,46850,119765,73.2
2025-07-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,98776,30589,54678,71263,48313,120985,62.6
2025-07-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,96649,31017,49879,71361,49424,116337,57.0
2025-07-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,103869,30372,62001,80600,54205,119996,60.3
2025-08-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107843,31159,57303,72545,44630,123482,64.2
2025-08-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,117325,35019,69838,84135,51967,129983,65.3
2025-08-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,114801,31893,54422,73270,51774,130173,60.0
2025-08-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,111354,31134,59337,73660,49149,132389,65.3
2025-09-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108642,33047,61295,79318,49928,117984,61.0
2025-09-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,114431,34308,67639,92878,49851,115779,52.6
2025-09-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,115084,33011,72204,96713,54904,119452,53.5
2025-09-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,111566,33275,51145,77091,48393,108609,51.8
2025-09-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112083,32132,61325,64046,44390,133410,78.7
2025-10-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,117355,32892,58303,67874,47430,133465,70.8
2025-10-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,114036,30314,49861,59779,43861,129095,70.4
2025-10-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,116262,34067,59520,60177,46190,139396,81.1
2025-10-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,114981,38364,64761,54518,51073,143059,93.7
2025-11-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112162,31746,58946,54441,46341,145667,87.1
2025-11-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108709,34472,67485,55760,47677,148559,95.5
2025-11-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,110069,32157,64172,63239,47222,146844,82.9
2025-11-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,111357,34045,64121,66414,49345,140289,79.2
2025-12-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,110167,32881,65073,81022,59392,139826,63.4
2025-12-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112113,31342,61735,97829,71807,137190,40.0
2025-12-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112598,31490,66617,90566,49057,128156,54.1
2025-12-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107815,30908,60366,73602,36753,121710,66.5
2025-12-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112588,30962,58837,81915,44646,125360,55.1
2026-01-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112999,31245,61422,76393,37761,127685,64.5
2026-01-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,113587,28648,59282,79834,46081,131868,58.0
