Date,Close,High,Low,Open,Volume,fvg_bull,fvg_bear,range_hi,range_lo,equilibrium,is_discount,is_premium,prev_low,prev_high,liquidity_sweep_bull,liquidity_sweep_bear,vol_ma,high_vol,is_down,bullish_ob,ret_5d
2021-04-26,14026.16015625,14039.400390625,13919.9296875,13954.9404296875,4506210000,False,False,14050.3798828125,12798.0302734375,13424.205078125,False,True,13789.4501953125,13989.4296875,False,False,4365578500.0,True,False,False,-0.01614414972914724
2021-04-27,13960.2802734375,14048.33984375,13931.1796875,14048.1298828125,4691460000,False,False,14050.3798828125,12798.0302734375,13424.205078125,False,True,13919.9296875,14039.400390625,False,True,4351897000.0,True,True,False,-0.029770917447358825
2021-04-28,13901.6201171875,13992.080078125,13895.150390625,13953.6103515625,4559710000,False,False,14050.3798828125,12966.650390625,13508.51513671875,False,True,13931.1796875,14048.33984375,False,False,4343785000.0,True,True,False,-0.028647740093805107
2021-04-29,13970.2001953125,14073.48046875,13836.099609375,14063.9404296875,4928030000,False,False,14073.48046875,13255.8203125,13664.650390625,False,True,13895.150390625,13992.080078125,True,True,4339950500.0,True,True,False,-0.025516436527667552
2021-04-30,13860.759765625,13969.2099609375,13838.8203125,13857.7900390625,4792460000,False,False,14073.48046875,13420.8095703125,13747.14501953125,False,True,13836.099609375,14073.48046875,False,False,4350749500.0,True,False,False,-0.010181973080761852
2021-05-03,13799.7197265625,13955.0,13784.66015625,13923.0400390625,4761430000,False,True,14073.48046875,13532.6298828125,13803.05517578125,True,False,13838.8203125,13969.2099609375,False,False,4365871000.0,True,True,False,-0.031931057816292574
2021-05-04,13544.669921875,13705.3798828125,13396.1103515625,13680.6298828125,5879730000,False,True,14073.48046875,13396.1103515625,13734.79541015625,True,False,13784.66015625,13955.0,False,False,4456172000.0,True,True,False,-0.014278708284552133
2021-05-05,13503.3701171875,13676.8603515625,13478.580078125,13649.1201171875,4535690000,False,False,14073.48046875,13396.1103515625,13734.79541015625,True,False,13396.1103515625,13705.3798828125,False,False,4478019500.0,True,True,False,-0.03715666755933544
2021-05-06,13613.73046875,13617.33984375,13403.4599609375,13490.9404296875,5021400000,False,False,14073.48046875,13396.1103515625,13734.79541015625,True,False,13478.580078125,13676.8603515625,True,False,4521409500.0,True,False,False,-0.03706405670974988
2021-05-07,13719.6298828125,13814.650390625,13669.7802734375,13715.5595703125,4391100000,False,False,14073.48046875,13396.1103515625,13734.79541015625,True,False,13403.4599609375,13617.33984375,False,False,4544659000.0,False,False,False,-0.023798729879297986
2021-05-10,13359.080078125,13648.490234375,13358.6201171875,13647.73046875,4818670000,False,True,14073.48046875,13358.6201171875,13716.05029296875,True,False,13669.7802734375,13814.650390625,False,False,4573047500.0,True,True,False,-0.003456070448338844
2021-05-11,13351.26953125,13381.66015625,13094.759765625,13102.6396484375,4738390000,False,True,14073.48046875,13094.759765625,13584.1201171875,True,False,13358.6201171875,13648.490234375,False,False,4598999000.0,True,False,False,-0.010005778359677309
2021-05-12,13001.6298828125,13236.8896484375,12967.1796875,13155.0703125,4752930000,False,False,14073.48046875,12967.1796875,13520.330078125,True,False,13094.759765625,13381.66015625,False,False,4630607000.0,True,True,False,0.01817312718229669
2021-05-13,13109.150390625,13226.6396484375,13006.76953125,13133.73046875,4698110000,False,False,14073.48046875,12967.1796875,13520.330078125,True,False,12967.1796875,13236.8896484375,False,False,4645168500.0,True,True,False,0.029364180107376736
2021-05-14,13393.1201171875,13430.0,13220.1904296875,13238.990234375,4022610000,False,False,14073.48046875,12967.1796875,13520.330078125,True,False,13006.76953125,13226.6396484375,False,False,4624910000.0,False,False,False,0.001390274784708545
2021-05-17,13312.91015625,13350.1396484375,13196.5703125,13329.8603515625,3997780000,False,False,14073.48046875,12967.1796875,13520.330078125,True,False,13220.1904296875,13430.0,True,False,4605818500.0,False,True,False,0.024700823478149836
2021-05-18,13217.6796875,13400.51953125,13212.849609375,13352.259765625,4301300000,False,False,14073.48046875,12967.1796875,13520.330078125,True,False,13196.5703125,13350.1396484375,False,True,4608627500.0,False,True,False,0.03329258929357759
2021-05-19,13237.91015625,13243.98046875,12994.349609375,12998.5302734375,4333520000,False,False,14073.48046875,12967.1796875,13520.330078125,True,False,13212.849609375,13400.51953125,True,False,4625322500.0,False,False,False,0.0351135543781842
2021-05-20,13494.08984375,13526.009765625,13293.099609375,13294.58984375,3990760000,True,False,14073.48046875,12967.1796875,13520.330078125,True,False,12994.349609375,13243.98046875,False,False,4603819500.0,False,False,False,0.012135665874556834
2021-05-21,13411.740234375,13573.83984375,13401.5302734375,13573.2197265625,3733940000,False,False,14073.48046875,12967.1796875,13520.330078125,True,False,13293.099609375,13526.009765625,False,True,4572761500.0,False,True,False,0.020487239273077495
