Datetime,Open,High,Low,Close
2025-11-20 12:45:00+00:00,24371.75,24646.5,24322.0,24647.5
2025-11-20 13:00:00+00:00,24418.75,24838.5,24395.25,24838.5
2025-11-20 13:15:00+00:00,24598.75,24818.0,24480.5,24763.0
2025-11-20 13:30:00+00:00,24507.0,24708.5,24367.75,24590.0
2025-11-20 13:45:00+00:00,24344.5,24570.75,24254.75,24555.75
2025-11-20 14:00:00+00:00,24291.75,24524.0,24226.75,24515.0
2025-11-20 14:15:00+00:00,24274.5,24597.75,24272.0,24597.75
2025-11-20 14:30:00+00:00,24345.5,24576.25,24274.75,24576.25
2025-11-20 14:45:00+00:00,24334.75,24650.0,24289.5,24650.75
2025-11-20 15:00:00+00:00,24396.25,24546.25,24275.0,24541.0
2025-11-20 15:15:00+00:00,24323.5,24570.0,24245.75,24545.75
2025-11-20 15:30:00+00:00,24306.5,24545.75,24153.25,24415.75
2025-11-20 15:45:00+00:00,24175.25,24400.0,24126.75,24379.5
2025-11-20 16:00:00+00:00,24142.75,24375.0,24107.5,24362.0
2025-11-20 16:15:00+00:00,24117.25,24366.75,24095.5,24366.75
2025-11-20 16:30:00+00:00,24121.5,24360.0,24101.75,24339.0
2025-11-20 16:45:00+00:00,24105.75,24350.0,24073.5,24081.0
2025-11-20 18:00:00+00:00,24131.75,24306.0,24044.5,24058.0
2025-11-20 18:15:00+00:00,24085.0,24368.0,24072.5,24368.0
2025-11-20 18:30:00+00:00,24129.5,24126.5,24108.0,24123.25
2025-11-20 18:45:00+00:00,24159.75,24397.0,24134.25,24389.0
2025-11-20 19:00:00+00:00,24377.75,24389.75,24164.25,24166.0
2025-11-20 19:15:00+00:00,24418.75,24435.75,24418.75,24431.25
2025-11-20 19:30:00+00:00,24431.25,24431.25,24191.5,24431.25
2025-11-20 19:45:00+00:00,24187.75,24436.75,24185.5,24194.5
2025-11-20 20:00:00+00:00,24198.75,24435.25,24183.5,24182.75
2025-11-20 20:15:00+00:00,24446.5,24473.0,24205.0,24473.0
2025-11-20 20:30:00+00:00,24231.25,24459.5,24192.0,24227.0
2025-11-20 20:45:00+00:00,24235.25,24467.0,24212.25,24224.5
2025-11-20 21:00:00+00:00,24463.25,24463.0,24171.5,24161.0
2025-11-20 21:15:00+00:00,24191.75,24437.0,24167.25,24187.0
2025-11-20 21:30:00+00:00,24440.5,24454.0,24437.5,24454.0
2025-11-20 21:45:00+00:00,24206.75,24442.5,24202.0,24436.0
2025-11-20 22:00:00+00:00,24184.75,24417.5,24165.0,24417.5
2025-11-20 22:15:00+00:00,24183.25,24425.0,24168.5,24425.0
2025-11-20 22:30:00+00:00,24425.0,24465.0,24184.0,24219.75
2025-11-20 22:45:00+00:00,24465.0,24465.0,24199.5,24204.0
2025-11-20 23:00:00+00:00,24445.75,24445.75,24183.5,24178.0
2025-11-20 23:15:00+00:00,24180.75,24394.5,24172.5,24394.5
2025-11-20 23:30:00+00:00,24394.5,24394.5,24365.0,24381.5
2025-11-20 23:45:00+00:00,24381.5,24382.0,24129.5,24382.0
2025-11-21 00:00:00+00:00,24420.0,24440.0,24420.0,24440.0
2025-11-21 00:15:00+00:00,24202.25,24440.0,24187.25,24185.75
2025-11-21 00:30:00+00:00,24439.0,24439.0,24146.0,24385.75
2025-11-21 00:45:00+00:00,24150.0,24400.0,24132.0,24400.0
2025-11-21 01:00:00+00:00,24145.5,24412.5,24134.5,24412.5
2025-11-21 01:15:00+00:00,24414.25,24416.0,24173.75,24416.0
2025-11-21 01:30:00+00:00,24416.0,24416.0,24168.75,24172.25
2025-11-21 01:45:00+00:00,24172.0,24425.0,24169.25,24417.75
2025-11-21 02:00:00+00:00,24177.25,24428.25,24157.5,24428.25
