Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2026-01-06 01:30:00+00:00,25592.5,25598.5,25591.0,25593.25,649
2026-01-06 01:45:00+00:00,25597.5,25602.75,25590.75,25593.75,776
2026-01-06 02:00:00+00:00,25594.5,25606.25,25593.5,25598.0,718
2026-01-06 02:15:00+00:00,25603.5,25608.0,25592.25,25594.5,614
2026-01-06 02:30:00+00:00,25614.0,25616.75,25600.75,25604.0,788
2026-01-06 02:45:00+00:00,25623.5,25625.5,25611.75,25614.75,706
2026-01-06 03:00:00+00:00,25625.25,25629.25,25620.75,25623.75,550
2026-01-06 03:15:00+00:00,25622.25,25627.5,25620.5,25625.0,381
2026-01-06 03:30:00+00:00,25626.5,25627.25,25621.0,25623.0,425
2026-01-06 03:45:00+00:00,25620.25,25626.75,25616.0,25626.0,537
2026-01-06 04:00:00+00:00,25636.5,25640.0,25620.5,25620.75,812
2026-01-06 04:15:00+00:00,25640.5,25640.75,25633.75,25637.0,526
2026-01-06 04:30:00+00:00,25639.25,25645.25,25632.5,25640.75,1437
2026-01-06 04:45:00+00:00,25647.0,25647.0,25636.5,25639.5,441
2026-01-06 05:00:00+00:00,25650.75,25651.75,25641.5,25643.5,628
2026-01-06 05:15:00+00:00,25647.5,25653.25,25646.25,25651.25,402
2026-01-06 05:30:00+00:00,25642.25,25650.5,25642.0,25647.75,399
2026-01-06 05:45:00+00:00,25642.75,25643.75,25638.5,25643.25,345
2026-01-06 06:00:00+00:00,25657.0,25658.25,25641.75,25643.0,623
2026-01-06 06:15:00+00:00,25661.0,25668.0,25654.75,25656.25,897
2026-01-06 06:30:00+00:00,25673.0,25674.25,25660.5,25661.75,688
2026-01-06 06:45:00+00:00,25668.25,25673.25,25664.25,25672.75,379
2026-01-06 07:00:00+00:00,25660.75,25670.0,25654.5,25669.5,541
2026-01-06 07:15:00+00:00,25653.0,25660.5,25649.25,25660.0,464
2026-01-06 07:30:00+00:00,25648.25,25657.75,25646.5,25653.0,435
2026-01-06 07:45:00+00:00,25646.75,25649.0,25642.25,25648.5,473
2026-01-06 08:00:00+00:00,25589.25,25647.75,25586.25,25647.5,2550
2026-01-06 08:15:00+00:00,25554.5,25593.0,25546.75,25588.75,3458
2026-01-06 08:30:00+00:00,25559.25,25562.75,25527.5,25553.75,3324
2026-01-06 08:45:00+00:00,25572.25,25578.25,25554.5,25560.0,1617
2026-01-06 09:00:00+00:00,25578.75,25583.0,25557.0,25572.5,1874
2026-01-06 09:15:00+00:00,25572.0,25587.5,25560.75,25577.0,1102
2026-01-06 09:30:00+00:00,25588.25,25589.5,25564.25,25569.5,751
2026-01-06 09:45:00+00:00,25586.75,25608.0,25580.5,25587.75,2022
2026-01-06 10:00:00+00:00,25579.75,25591.5,25576.25,25585.5,790
2026-01-06 10:15:00+00:00,25580.25,25583.75,25571.75,25579.5,593
2026-01-06 10:30:00+00:00,25591.5,25594.5,25577.0,25578.25,438
2026-01-06 10:45:00+00:00,25592.0,25597.0,25584.25,25591.5,708
2026-01-06 11:00:00+00:00,25599.75,25605.25,25592.25,25593.5,738
2026-01-06 11:15:00+00:00,25592.0,25602.25,25590.25,25599.25,707
2026-01-06 11:30:00+00:00,25594.75,25597.5,25590.5,25592.5,509
2026-01-06 11:45:00+00:00,25596.75,25610.25,25590.5,25596.5,1155
2026-01-06 12:00:00+00:00,25613.5,25617.0,25591.5,25596.0,1169
2026-01-06 12:15:00+00:00,25616.0,25617.25,25608.0,25613.75,580
2026-01-06 12:30:00+00:00,25633.0,25635.0,25611.5,25615.5,1189
2026-01-06 12:45:00+00:00,25641.25,25649.0,25632.0,25634.0,1952
2026-01-06 13:00:00+00:00,25631.5,25650.5,25623.75,25640.25,2473
2026-01-06 13:15:00+00:00,25625.0,25642.25,25619.75,25630.75,1202
2026-01-06 13:30:00+00:00,25620.75,25637.25,25620.25,25624.0,1302
2026-01-06 13:45:00+00:00,25616.5,25625.5,25590.5,25621.5,3620
2026-01-06 14:00:00+00:00,25615.0,25618.75,25592.5,25616.75,3689
2026-01-06 14:15:00+00:00,25635.75,25638.5,25608.0,25615.75,4453
2026-01-06 14:30:00+00:00,25664.5,25677.75,25608.0,25635.75,42711
2026-01-06 14:45:00+00:00,25753.0,25761.25,25662.0,25666.25,34254
2026-01-06 15:00:00+00:00,25754.0,25772.75,25726.5,25753.0,23429
2026-01-06 15:15:00+00:00,25760.25,25779.0,25733.25,25754.0,15575
2026-01-06 15:30:00+00:00,25731.75,25767.0,25728.5,25766.75,17116
2026-01-06 15:45:00+00:00,25687.5,25734.25,25676.75,25715.75,22077
2026-01-06 16:00:00+00:00,25669.75,25687.75,25645.5,25687.0,21153
2026-01-06 16:15:00+00:00,25676.25,25706.75,25673.75,25676.0,15844
2026-01-06 16:30:00+00:00,25664.25,25691.75,25658.75,25676.75,14542
2026-01-06 16:45:00+00:00,25695.5,25697.75,25663.25,25665.5,10001
2026-01-06 17:00:00+00:00,25714.0,25718.25,25674.5,25696.0,10127
2026-01-06 17:15:00+00:00,25735.0,25743.0,25711.25,25714.25,11141
2026-01-06 17:30:00+00:00,25769.25,25772.5,25735.0,25735.5,13063
2026-01-06 17:45:00+00:00,25760.25,25772.5,25747.75,25772.25,9173
2026-01-06 18:00:00+00:00,25758.0,25763.25,25745.0,25759.75,5544
2026-01-06 18:15:00+00:00,25759.5,25779.0,25757.75,25771.0,8385
2026-01-06 18:30:00+00:00,25769.75,25771.0,25750.0,25759.75,6140
2026-01-06 18:45:00+00:00,25800.0,25805.75,25785.75,25786.5,11504
2026-01-06 19:00:00+00:00,25807.0,25809.75,25794.0,25805.0,8208
2026-01-06 19:15:00+00:00,25809.0,25814.5,25801.5,25807.5,5895
2026-01-06 19:30:00+00:00,25818.25,25821.0,25806.25,25809.0,5527
2026-01-06 19:45:00+00:00,25809.75,25818.75,25806.25,25815.75,5087
2026-01-06 20:00:00+00:00,25813.5,25815.75,25802.0,25812.25,5564
2026-01-06 20:15:00+00:00,25815.75,25824.0,25809.5,25814.25,5609
